id;code;name;town_id;icao;name_eng
470;MCX;Махачкала;MCX;URML;Makhachkala
471;MDE;Меделлин;MDE;SKMD;Medellin
472;MDK;Мбандака;MDK;FZEA;Mbandaka
473;MDL;Мандалай;MDL;VYMD;Mandalay
474;MDQ;Мар-дель-Плата;MDQ;SAZM;Mar del Plata
475;MDZ;Мендоза;MDZ;;Mendoza
476;MED;Медина;MED;OEMA;Madinah
477;MEL;Мельбурн;MEL;YMML;Melbourne
478;MEX;Мехико;MEX;MMMX;Mexico City
479;MFM;Макао;MFM;VMMC;Macau Intl
480;MGA;Аугусто Сесар Сандин;MGA;MNMG;Augusto Cesar Sandin
481;MGO;Манега;MGO;;Manega
482;MGQ;Могадишо;MGQ;HCMM;Mogadishu
483;MHD;Шахид Хашеми Неджад;MHD;OIMM;Shahid Hashemi Nejod
484;MHP;Минск-1;MSQ;UMMM;Minsk-1
485;MIA;Майами;MIA;KMIA;Miami Int
486;MID;Мерида;MID;MMMD;Merida(Lic Manuel Cr
487;MIR;Монастир;MIR;DTMB;Mohastir
488;MJT;Одиссис Елитис ;MJT;LGMT;Odysseas Elytis Airp
489;MJV;Сан-Хавьер;MJV;LELC;Murcia
490;MJZ;Мирный;MJZ;UERR;Mirny
491;MLA;Мальта;MLA;LMML;Malta
492;MLE;Мале;MLE;VRMM;Male
493;MLH;Базель;XXX;LFSB;Basle-Mulhouse
494;MLW;Монровия;MLW;GLMR;Monrovia
495;MMA;Мальме Сити;MMA;;Malmo City Hvc
496;MMK;Мурманск;MMK;ULMM;Murmansk
497;MMX;Стуруп;MMA;ESMS;Sturup
498;MNL;Манила;MNL;RPLL;Manila
499;MOW;Чкаловское;MOW;XUMU;Chkalovskoe
500;MPL;Монпелье;MPL;LFMT;Montpellier
501;MPM;Мапуто;MPM;FQMA;Maputo
502;MPW;Мариуполь;MPW;UKCM;Mariupol
503;MQF;Магнитогорск;MQF;USCM;Magnitogorsk
